Year,GDP_In_Billion_USD,GDP growth (annual %),Imports of goods and services (% of GDP),Exports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Population, total",Population growth (annual %),exchange_rate Indian rupees to one dollor
1960,39.23,0,6.83,4.46,1.78,445954579,2.31,4.76
1961,42.16,3.72,5.96,4.3,1.7,456351876,2.33,4.76
1962,48.42,2.93,6.03,4.17,3.63,467024193,2.34,4.76
1963,56.48,5.99,5.91,4.28,2.95,477933619,2.34,4.76
1964,59.55,7.45,5.69,3.73,13.36,489059309,2.33,4.76
1965,45.87,-2.64,5.21,3.31,9.47,500114346,2.26,4.76
1966,50.13,-0.06,6.67,4.14,10.8,510992617,2.18,6.36
1967,53.09,7.83,5.95,4.03,13.06,521987069,2.15,7.5
1968,58.45,3.39,4.94,4.04,3.24,533431909,2.19,7.5
1969,62.42,6.54,4.03,3.71,-0.58,545314670,2.23,7.5
1970,67.35,5.16,3.88,3.78,5.09,557501301,2.23,7.5
1971,71.46,1.64,4,3.67,3.08,569999178,2.24,7.49
1972,85.52,-0.55,3.71,4.03,6.44,582837973,2.25,7.59
1973,99.53,3.3,4.72,4.21,16.94,596107483,2.28,7.654065041
1974,98.47,1.19,6.02,4.83,28.6,609721951,2.28,8.02888
1975,102.72,9.15,6.65,5.65,5.75,623524219,2.26,8.40856
1976,121.49,1.66,6.11,6.69,-7.63,637451448,2.23,8.971468254
1977,137.3,7.25,6.26,6.38,8.31,651685628,2.23,8.76832
1978,152.99,5.71,6.59,6.31,2.52,666267760,2.24,8.19792
1979,186.33,-5.24,8.17,6.75,6.28,681248383,2.25,8.15644
1980,193.49,6.74,9.25,6.14,11.35,696828385,2.29,7.886772908
1981,200.72,6.01,8.57,5.94,13.11,712869298,2.3,8.680717131
1982,218.26,3.48,8.14,5.98,7.89,729169466,2.29,9.484741036
1983,212.16,7.29,7.85,5.84,11.87,745826546,2.28,10.10410359
1984,232.51,3.82,7.73,6.28,8.32,762895156,2.29,11.34652
1985,248.99,5.25,7.65,5.25,5.56,780242084,2.27,12.33184
1986,279.03,4.78,7.02,5.2,8.73,797878993,2.26,12.59673307
1987,296.59,3.97,6.98,5.6,8.8,815716125,2.24,12.94686508
1988,296.04,9.63,7.46,6.04,9.38,833729681,2.21,13.89952191
1989,320.98,5.95,8.15,7.02,7.07,852012673,2.19,16.21310757
1990,270.11,5.53,8.45,7.05,8.97,870452165,2.16,17.49220884
1991,288.21,1.06,8.49,8.49,13.87,888941756,2.12,22.71164659
1992,279.3,5.48,9.59,8.84,11.79,907574049,2.1,28.15581673
1993,327.28,4.75,9.82,9.83,6.33,926351297,2.07,31.2910757
1994,360.28,6.66,10.19,9.89,10.25,945261958,2.04,31.39385458
1995,392.9,7.57,12.02,10.84,10.22,964279129,2.01,32.41807371
1996,415.87,7.55,11.54,10.39,8.98,983281218,1.97,35.50599603
1997,421.35,4.05,11.93,10.69,7.16,1002335230,1.94,36.36450996
1998,458.82,6.18,12.68,11.02,13.23,1021434576,1.91,41.35610714
1999,468.39,8.85,13.36,11.45,4.67,1040500054,1.87,43.12740079
2000,485.44,3.84,13.9,13,4.01,1059633675,1.84,44.99747619
2001,514.94,4.82,13.43,12.56,3.78,1078970907,1.82,47.21996
2002,607.7,3.8,15.24,14.26,4.3,1098313039,1.79,48.62569721
2003,709.15,7.86,15.64,14.95,3.81,1117415123,1.74,46.59079681
2004,820.38,7.92,19.64,17.86,3.77,1136264583,1.69,45.26098814
2005,940.26,7.92,22.4,19.61,4.25,1154638713,1.62,44.0001992
2006,1216.74,8.06,24.46,21.27,5.8,1172373788,1.54,45.18605578
2007,1198.9,7.66,24.89,20.8,6.37,1189691809,1.48,41.17740157
2008,1341.89,3.09,29.27,24.1,8.35,1206734806,1.43,43.3859127
2009,1675.62,7.86,25.87,20.4,10.88,1223640160,1.4,48.33238095
2010,1823.05,8.5,26.85,22.4,11.99,1240613620,1.39,45.65074297
2011,1827.64,5.24,31.08,24.54,8.91,1257621191,1.37,46.57816733
2012,1856.72,5.46,31.26,24.53,9.48,1274487215,1.34,53.37434303
2013,2039.13,6.39,28.41,25.43,10.02,1291132063,1.31,58.51486056
2014,2103.59,7.41,25.95,22.97,6.67,1307246509,1.25,60.995252
2015,2294.8,8,22.11,19.81,4.91,1322866505,1.19,64.107251
2016,2651.47,8.26,20.92,19.16,4.95,1338636340,1.19,67.15717131
2017,2702.93,6.8,21.95,18.79,3.33,1354195680,1.16,65.06594378
2018,2831.55,6.53,23.69,19.93,3.94,1369003306,1.09,68.37343775
2019,2667.69,4.04,21.27,18.69,3.73,1383112050,1.03,70.37771084
2020,2671.6,-7.25,19.1,18.71,6.62,1396387127,0.96,74.14292
2021,3153.31,-5.8,23.89,21.4,5.3,1407563842,0.8,73.9351004
2022,3386.4,9.1,46,33,7.79,1417173173,0.68,78.57916
